Edition,Publisher,Base/Expansion,Deck,Number,Type,Player(s),Name,Cost,VPs,Prerequisites,Passing Left,Card Category (Revised only),Text
Original,Z-Man,Base,E,41,Minor Improvement,,Millstone,1 Stone,,,,,"Whenever you Bake 1 or more Grain into bread, you receive 2 additional Food."
Original,Z-Man,Base,E,42,Minor Improvement,,Helpful Neighbors,1 Wood/1 Clay,,,X,,"When you play this card, you receive either 1 Stone or 1 Reed."
Original,Z-Man,Base,E,43,Minor Improvement,,Fruit Tree,,1,3 Occupations,,,"Place 1 Food on each remaining Round space for rounds 8 to 14. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,E,44,Minor Improvement,,Outhouse,"1 Wood,1 Clay",2,See Below,,,The Outhouse has no effect. You can only build it if at least one other player has fewer than 2 Occupations. (It is irrelevant how many Occupations you have played.)
Original,Z-Man,Base,E,45,Minor Improvement,,Private Forest,2 Food,,,,,"Place 1 Wood on each remaining even-numbered Round space. At the start of these rounds, you receive the Wood."
Original,Z-Man,Base,E,46,Minor Improvement,,Sack Cart,2 Wood,,2 Occupations,,,"Place 1 Grain each on the spaces for rounds 5,8,11 and 14. At the start of these rounds, you receive the Grain."
Original,Z-Man,Base,E,47,Minor Improvement,,Lettuce Patch,,1,3 Occupations,,,"On this card, you can plant Vegetables as you would on a field. Vegetables on this field can be converted to 4 Food when harvested. (This card does not count as a field when scoring.)"
Original,Z-Man,Base,E,48,Minor Improvement,,Reed Pond,,1,3 Occupations,,,"Place 1 Reed each on the next 3 Round spaces. At the start of each round, you receive the Reed."
Original,Z-Man,Base,E,49,Minor Improvement,,Writing Desk,1 Wood,1,2 Occupations,,,"Whenever you use an ""Occupation"" Action, you may play 2 Occupations one after another. The second Occupation costs you 2 Food."
Original,Z-Man,Base,E,50,Minor Improvement,,Builder's Trowel,1 Wood,,,,,"You can Renovate your Wooden hut to a Clay hut at any time without using the ""Renovate"" action. (You must still pay for the Renovation.)"
Original,Z-Man,Base,E,51,Minor Improvement,,Spindle,1 Wood,,,,,"Whenever you have 3/5 Sheep during the Field phase of a Harvest, you receive 1/2 additional Food."
Original,Z-Man,Base,E,52,Minor Improvement,,Stable,1 Wood,,,X,,"When you play this card, immediately build 1 stable. (The stable does not cost anything, but you must pay the cost shown to play this card.)"
Original,Z-Man,Base,E,53,Minor Improvement,,Butter Churn,2 Wood,,,,,"Whenever you have Sheep during the Field phase of a Harvest, you receive 1 Food for each third Sheep. Whenever you have Cattle during the Field phase, you receive 1 Food for each second Cattle."
Original,Z-Man,Base,E,54,Minor Improvement,,Quarry,,2,4 Occupations,,,"Whenever you use the ""Day Laborer"" Action, you receive an additional 3 Stone."
Original,Z-Man,Base,E,55,Minor Improvement,,Stone House Extension,"1 Reed,3 Stone",,,X,,"When you play this card, immediately extend your Stone house by 1 room. (The room does not cost anything, but you must pay the cost shown to play this card.)"
Original,Z-Man,Base,E,56,Minor Improvement,,Stone Tongs,1 Wood,,,,,"Whenever you use one of the ""Stone"" Action spaces that become available in Stage 2 and Stage 4, you receive 1 additional Stone."
Original,Z-Man,Base,E,57,Minor Improvement,,Dovecote,2 Stone,2,,,,"Place 1 Food each on the spaces for rounds 10 to 14. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,E,58,Minor Improvement,,Animal Yard,2 Wood,1,1 Occupation,,,On this card you can hold up to 2 animals of you choice. They need not be the same type of animal. (This card does not count as a pasture for scoring.)(This card does not give you animals.)
Original,Z-Man,Base,E,59,Minor Improvement,,Drinking Trough,2 Wood,1,,,,Each pasture (with or without a stable) can hold up to 2 more animals.
Original,Z-Man,Base,E,60,Minor Improvement,,Cattle Market,1 Sheep,,,X,,"When you play this card, return 1 Sheep to the supply and take 1 Cattle."
Original,Z-Man,Base,E,61,Minor Improvement,,Riding Plow,4 Wood,,3 Occupations,,,"Twice during the game, when you use either the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" action, you can Plow 3 fields instead of 1."
Original,Z-Man,Base,E,62,Minor Improvement,,Turnwrest Plow,3 Wood,,2 Occupations,,,"Once during the game, when you use either ""Plow 1 field"" or ""Plow 1 field and/or Sow"" action, you can Plow 3 fields instead of 1."
Original,Z-Man,Base,E,147,Occupation,3+,Land Agent,,,,,,"Whenever you use the ""Take 1 Vegetable"" Action space, you also receive 1 Grain. When you play this card, you receive 1 Vegetable from the supply."
Original,Z-Man,Base,E,148,Occupation,3+,Academic,,,,,,"This card counts as 2 Occupations for Minor Improvements and when scoring the ""Reeve"" Occupation card."
Original,Z-Man,Base,E,149,Occupation,4+,Master Baker,,,,,,"Whenever another player Bakes bread, you can Bake bread if you have a Baking Improvement with the bread symbol. If you take a Bake action yourself (not using this card), you receive 1 additional Food."
Original,Z-Man,Base,E,150,Occupation,1+,Baker,,,,,,"During each Harvest, you may Bake bread at the start of the Feeding phase if you have an Improvement with the bread symbol. When you play this card, you may Bake bread as an additional action."
Original,Z-Man,Base,E,151,Occupation,1+,Master Builder,,,,,,"Once during the game, at any time after your home reaches at least 5 rooms, you may extend it by 1 room at no cost."
Original,Z-Man,Base,E,152,Occupation,3+,Berry Picker,,,,,,"Whenever you use a Family member's action to take Wood, you receive an additional 1 Food."
Original,Z-Man,Base,E,153,Occupation,1+,Mendicant,,,,,,"At the end of the game, you can discard up to 2 Begging card without losing points for them."
Original,Z-Man,Base,E,154,Occupation,1+,Master Brewer,,,,,,"In the Feeding phase of each Harvest, the Master Brewer can convert up to 1 Grain to 3 Food."
Original,Z-Man,Base,E,155,Occupation,3+,Bread Seller,,,,,,"You receive 1 Food for the supply for each Grain that is baked whenever any player (including you) Bakes bread. (To Bake, you need a Baking Improvement with the bread symbol.)"
Original,Z-Man,Base,E,156,Occupation,3+,Brush Maker,,,,,,"Whenever you convert Wild boar to Food, you can choose to place the boar on this card. At the end of the game, you receive 1/2/3 Bonus points for 2/3/4 slaughtered Wild boar."
Original,Z-Man,Base,E,157,Occupation,3+,Thatcher,,,,,,"Pay 1 Reed less to Build each room, for each Renovation, and for each of the Water Mill, Half-timbered House, Chicken Coop, Holiday Home, Mansion and Corn Storehouse."
Original,Z-Man,Base,E,158,Occupation,3+,Turner,,,,,,"At any time, you can use the Turner to convert any number of Wood to 1 Food each."
Original,Z-Man,Base,E,159,Occupation,4+,Head of the Family,,,,,,"You can use any Build room(s) or Family growth Action space, even if another player has already placed a person on it."
Original,Z-Man,Base,E,160,Occupation,4+,Farmer,,,,,,"The next time you build fences, take 1 Wild boar. Each time you build at least 1 fence after that, take 1 Cattle."
Original,Z-Man,Base,E,161,Occupation,3+,Fisherman,,,,,,"Whenever you use the ""Fishing"" Action space, you can choose to take twice as much Food as is on the space. If you do this, you must give 1 Food each to the Fishing Rod, Raft, Canoe, Fish Trap and Landing Net."
Original,Z-Man,Base,E,162,Occupation,1+,Meat Seller,,,,,,"If you have an Oven, you can change your animals into Food an any time. Take 2 Food for each Sheep, 3 for each Wild boar and 4 for each Cattle."
Original,Z-Man,Base,E,163,Occupation,4+,Field Warden,,,,,,"You can use the ""Take 1 Vegetable"", ""Plow 1 field"" and ""Plow 1 field and/or Sow"" action even if another player has placed a person on the space."
Original,Z-Man,Base,E,164,Occupation,4+,Master Forester,,,,,,"Include the ""2 Wood"" Action card from the 3-player game as an additional forest. At the start of each round, place 2 Wood on the card. Any player who uses this action must pay you 2 Food."
Original,Z-Man,Base,E,165,Occupation,3+,Yeoman Farmer,,,,,,"At the end of the game, you only lose points for Unused spaces and Begging cards."
Original,Z-Man,Base,E,166,Occupation,4+,Undergardener,,,,,,"Whenever you use the ""Day Laborer"" Action space, you also receive 1 Vegetable."
Original,Z-Man,Base,E,167,Occupation,4+,Conjurer,,,,,,"Whenever you use the ""Traveling Players"" action on an Action space, you receive 1 Grain in addition to the Food."
Original,Z-Man,Base,E,168,Occupation,3+,Greengrocer,,,,,,"Whenever you use the ""Take 1 Grain"" Action space, you also receive 1 Vegetable."
Original,Z-Man,Base,E,169,Occupation,4+,Storyteller,,,,,,"Whenever you use the ""Traveling Players"" action on an Action space, you can leave 1 Food on the space and take 1 Vegetable instead."
Original,Z-Man,Base,E,170,Occupation,3+,Estate Manager,,,,,,"At the end of a 3/4/5 player game, if no player has more animals of any type than you, you receive 2/3/4 Bonus points."
Original,Z-Man,Base,E,171,Occupation,1+,Dock Worker,,,,,,"At any time, you can use the Dock Worker to convert 3 Wood to either 1 Clay, 1 Reed or 1 Stone, or to convert 2 Clay, 2 Reed or 2 Stone to 1 other building resource."
Original,Z-Man,Base,E,172,Occupation,1+,Chief,2 Food,,,,,"At the end of the game, you receive 1 Bonus point for each room in your Stone house. (In total, you receive 3 points per room instead of 2.) Playing this card costs an additional 2 Food."
Original,Z-Man,Base,E,173,Occupation,1+,Chief's Daughter,,,,,,"If another player plays the ""Chief"" card, you can play this card immediately at no cost. (You can also play it using an Action space in the usual way.) At the end of the game, you receive 3 Bonus points if you have a Stone house, 1 if you have a Clay hut."
Original,Z-Man,Base,E,174,Occupation,1+,Tutor,,,,,,"At the end of the game, you receive 1 Bonus point for each Occupation that you play after this one."
Original,Z-Man,Base,E,175,Occupation,1+,Hedge Keeper,,,,,,"Whenever you build at least 1 fence, you can build 3 additional fences without paying any additional Wood. (You can only place fences if they enclose a complete pasture.)"
Original,Z-Man,Base,E,176,Occupation,1+,Woodcutter,,,,,,You receive 1 additional Wood whenever you use a Family member's action to take Wood.
Original,Z-Man,Base,E,177,Occupation,3+,Wooden Hut Builder,,,,,,"At the end of the game, you receive 1 bonus point for each room in your Wooden hut."
Original,Z-Man,Base,E,178,Occupation,4+,Hut Builder,,,,,,"Play this card during Stage 1. At the start of Round 11, you can extend you hut by 1 room at no cost, as long as you have not yet renovated to a Stone house."
Original,Z-Man,Base,E,179,Occupation,1+,Merchant,,,,,,"Whenever you use the ""Minor Improvement"" or ""Minor or Major Improvement"" action, you can pay 1 Food to use the action a second time."
Original,Z-Man,Base,E,180,Occupation,4+,Hobby Farmer,,,,,,"When you play this card, take 1 Vegetable that you may Sow immediately if you have an empty plowed field. (You can Sow just this one Vegetable with this extra action.)"
Original,Z-Man,Base,E,181,Occupation,4+,Cook,,,,,,"In the Feeding phase of each Harvest, only 2 of your people eat 2 Food each; all others are satisfied with only 1 Food."
Original,Z-Man,Base,E,182,Occupation,3+,Charcoal Burner,,,,,,You receive 1 Food and 1 Wood whenever any player (including you) builds a Baking Improvement with a bread symbol.
Original,Z-Man,Base,E,183,Occupation,4+,Basketmaker,,,,,,"In each Harvest, the Basketmaker can convert up to 1 Reed to 3 Food."
Original,Z-Man,Base,E,184,Occupation,1+,Grocer,,,,,,"Pile (from bottom to top) 1 Vegetable, Reed, Clay, Wood, Vegetable, Stone, Grain, Reed on this card. At any time, you may buy the top item for 1 Food."
Original,Z-Man,Base,E,185,Occupation,4+,Clay Firer,,,,,,You can use the Clay Firer at any time to convert 2/3 Clay to 1/2 Stone.
Original,Z-Man,Base,E,186,Occupation,4+,Clay Seller,,,,,,"You can use the Clay Seller an any time to convert: 2 Clay to 1 Sheep or 1 Reed, 3 Clay to 1 Wild boar or 1 Stone, and/or 4 Clay to 1 Cattle."
Original,Z-Man,Base,E,187,Occupation,1+,Clay Deliveryman,,,,,,"Place 1 Clay on each of the spaces for rounds 6 to 14. At the start of these rounds, you receive the Clay."
Original,Z-Man,Base,E,188,Occupation,1+,Clay Mixer,,,,,,"Whenever one of your people's actions gives you only Clay, you receive 2 additional Clay."
Original,Z-Man,Base,E,189,Occupation,1+,Lord of the Manor,,,,,,"At the end of the game, you receive 1 bonus point for each scoring category where you have scored the maximum 4 points. (The bonus point is also awarded for 4 fenced stables.)"
Original,Z-Man,Base,E,190,Occupation,1+,Maid,,,,,,"Once you have built a Clay hut, place 1 Food on each remaining Round space. At the start of these rounds, you receive the Food. (If you already have a Clay hut or a Stone house when you play this card, place the Food immediately)"
Original,Z-Man,Base,E,191,Occupation,1+,Mason,,,,,,"Once during the game, at any time after your Stone house reaches at least 4 rooms, you may extend it by 1 room at no cost."
Original,Z-Man,Base,E,192,Occupation,4+,Patron,,,,,,"In the future, whenever you play an Occupation, you receive 2 Food before you pay the costs of the Occupation."
Original,Z-Man,Base,E,193,Occupation,4+,Pastor,,,,,,"If, when you play this card or later in the game, you are the last player to have only 2 rooms in your home, you receive 3 Wood, 2 Clay, 1 Reed and 1 Stone."
Original,Z-Man,Base,E,194,Occupation,1+,Plow Driver,,,,,,"Once you have a Stone house, you can pay 1 Food at the start of each round to Plow (at most) 1 field."
Original,Z-Man,Base,E,195,Occupation,1+,Plow Maker,,,,,,"Whenever you use either the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" Action spaces, you can pay 1 Food to Plow 1 additional field."
Original,Z-Man,Base,E,196,Occupation,1+,Mushroom Collector,,,,,,"Whenever you use a Family member's action to take Wood from an Action space, you can leave 1 of the Wood on the space and take 2 Food in exchange."
Original,Z-Man,Base,E,197,Occupation,3+,Braggart,,,,,,"At the end of the game, you receive 1/3/5/7/9 Bonus points for having 5/6/7/8/9+ Improvements in front of you."
Original,Z-Man,Base,E,198,Occupation,3+,Ratcatcher,,,,,,"In rounds 10 and 12, all other players may not place 1 of their family's Offspring* (if they have any).(You yourself may place all your Family members.)This card may only be played until the end of Round 9. (*) Offspring are a player's 3rd, 4th, and 5th Family members."
Original,Z-Man,Base,E,199,Occupation,1+,Renovator,,,,,,"Pay 2 less Clay to renovate to a Clay hut, and pay 2 less Stone to renovate to a Stone house."
Original,Z-Man,Base,E,200,Occupation,1+,Conservator,,,,,,You can renovate your Wooden hut to a Stone house without first needing to renovate it to a Clay hut.
Original,Z-Man,Base,E,201,Occupation,4+,Cattle Whisperer,,,,,,"Add 5 and 9 to the current round. Place 1 Cattle on the corresponding Round spaces. At the start of these rounds, you receive the Cattle."
Original,Z-Man,Base,E,202,Occupation,1+,Seasonal Worker,,,,,,"Whenever you use the ""Day Laborer"" Action space, you receive 1 additional Grain. From Round 6, you can choose to receive 1 Vegetable instead."
Original,Z-Man,Base,E,203,Occupation,4+,Shepherd,,,,,,"During each Harvest, if you have at least 4 Sheep during the Breeding phase, you receive 2 lambs instead of 1 as long as you have room for them."
Original,Z-Man,Base,E,204,Occupation,4+,Master Shepherd,,,,,,"Place 1 Sheep on each of the next 3 Round spaces. At the start of these rounds, you receive the Sheep."
Original,Z-Man,Base,E,205,Occupation,3+,Reed Collector,,,,,,"Place 1 Reed on each of the next 4 Round spaces. At the start of these rounds, you receive the Reed."
Original,Z-Man,Base,E,206,Occupation,4+,Swineherd,,,,,,"Whenever you use the ""Take 1 Wild boar"" Action space, you receive 1 additional Wild Boar from the supply. (The ""Take 1 Wild Boar"" Action is added in Stage 3.)"
Original,Z-Man,Base,E,207,Occupation,1+,Stablehand,,,,,,"Whenever you build at least 1 fence, you also receive 1 stable which you must build immediately. (This may be built inside or outside the fenced area.)(You do not need to pay any Wood for the stable.)"
Original,Z-Man,Base,E,208,Occupation,1+,Stablemaster,,,,,,One (and only one) of your unfenced stables may hold up to 3 animals of the same type.
Original,Z-Man,Base,E,209,Occupation,3+,Quarryman,,,,,,"You can use the Quarryman at any time to convert Stone to Food. For each Stone you convert, take 2 Food."
Original,Z-Man,Base,E,210,Occupation,1+,Stone Carrier,,,,,,"Whenever you take Stone with an action, you can also take 1 additional Stone. If you also receive other building resources, this costs you 1 Food."
Original,Z-Man,Base,E,211,Occupation,3+,Stonecutter,,,,,,"All Improvements, Rooms and Renovations cost 1 Stone less."
Original,Z-Man,Base,E,212,Occupation,4+,Dancer,,,,,,"Whenever you use the ""Traveling Players"" action on an Action space, you receive at least 4 Food. (If there are 1 to 3 Food are on the space, take Food from the general supply until you total 4 Food.)"
Original,Z-Man,Base,E,213,Occupation,4+,Stockman,,,,,,"You receive 1 Cattle when you build your second stable, 1 Wild boar when you build your third and 1 Sheep when you build your fourth. (If you build several stables at once, you may be entitled to take several animals as well.)"
Original,Z-Man,Base,E,214,Occupation,3+,Potter,,,,,,"In each Harvest, the Potter can convert up to 1 Clay to 2 Food."
Original,Z-Man,Base,E,215,Occupation,4+,Tenant Farmer,,,,,,"You immediately receive a loan of one of each type of animal. Before scoring, return the 3 animals. For each animal that you cannot or do not want to return, you lose 1 point."
Original,Z-Man,Base,E,216,Occupation,4+,Animal Keeper,,,,,,"You can keep Sheep, Wild boar, and Cattle in the same pasture. This applies to all your pastures (except the Forest Pasture)."
Original,Z-Man,Base,E,217,Occupation,3+,Reeve,,,,,,"Take 1/2/3/4 Wood if there are still 1/3/6/9 rounds to play. At the end of the game, all players with the most played Occupation cards receive 3 Bonus points each."
Original,Z-Man,Base,E,218,Occupation,1+,Carpenter,,,,,,"To extend your home, you need only 3 of the appropriate building resource and 2 Reed for each new room. (For example, if you live in a Wooden hut, you need 3 Wood and 2 Reed.)"
Original,Z-Man,Base,E,338,Minor Improvement,,Feed Pellets,,,,,,"During the Feeding Phase of each Harvest, you may trade 1 Vegetable for 1 of any type of Animal that you already have in your farmyard."
Original,Z-Man,Base,E,341,Occupation,3+,Guildmaster,,,,,,"You receive 4 Wood when you acquire the Joinery or play the Cabinetmaker. When you acquire the Pottery or play the Potter, you receive 4 Clay. When you acquire the Basketmaker's Workshop or play the Basketmaker, you receive 3 Reed. If you have already played any of these cards when you play the Guildmaster, you receive 2 building resources of the appropriate type for each existing card."
Original,Z-Man,Base,I,63,Minor Improvement,,Moldboard Plow,2 Wood,,1 Occupations,,,"Twice during the game, when you use the ""Plow 1 field"" action, you may Plow 2 fields instead of 1. This does not apply to the ""Plow 1 field and/or Sow"" action."
Original,Z-Man,Base,I,64,Minor Improvement,,Alms,,,No Occupations,X,,"When you play this card, take 1 Food for each completed round of the game."
Original,Z-Man,Base,I,65,Minor Improvement,,Baker's Kitchen,2 Stone,4,Return 1 Oven of your choice,,,"Whenever you use the ""Bake bread"" action, you can use the Baker's Kitchen to convert up to 2 Grain into 5 Food each. When you play this card, you can also take the ""Bake bread"" action."
Original,Z-Man,Base,I,66,Minor Improvement,,Village Well,,5,Return Well,,,"Place 1 Food each on the next 3 remaining Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,I,67,Minor Improvement,,Threshing Board,2 Wood,1,2 Occupations,,,"Whenever you use the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" actions, you can also take the ""Bake bread"" action."
Original,Z-Man,Base,I,68,Minor Improvement,,Harrow,2 Wood,,,,,"Once during the game, when you use the ""Plow 1 field"" or ""Plow 1 field and/or Sow"" action, you can Plow 2 fields instead of 1. Each other player can also do this once during the game, but must pay you 2 Food to do it."
Original,Z-Man,Base,I,69,Minor Improvement,,Strawberry Patch,,2,2 Vegetable Fields,,,"Place 1 Food on each of the next 3 Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,I,70,Minor Improvement,,Punner,1 Wood,,,,,"Whenever another player uses the Harrow or a Plow, you can immediately Plow 1 field as well. (If you use the Harrow or a Plow yourself, you do not get any advantage.)"
Original,Z-Man,Base,I,71,Minor Improvement,,Holiday House,"3 Wood/3 Clay,2 Reed",8,,,,"In Round 14, you cannot place any Family members. (Playing this card bans you from placing people—including a Guest—in Round 14.) Play this card at the latest during Round 13. (Be prepared to play two Harvests in a row.)"
Original,Z-Man,Base,I,72,Minor Improvement,,Goose Pond,,1,3 Occupations,,,"Place 1 Food each on the next 4 remaining Round spaces. At the start of these rounds, you receive the Food."
Original,Z-Man,Base,I,73,Minor Improvement,,Guest,2 Food,,,X,,"When you play this card, you receive a Guest token, which you may place once in the next round as you would a person."
